"u","v","w","vtkValidPointMask","Point Coordinates:0","Point Coordinates:1","Point Coordinates:2","Time"
-7.2171e-14,0,0,1,2,0.2,3.1225e-17,0.73772
-7.4354e-14,0,0,1,2,0.2,3.1225e-17,0.74228
-7.6613e-14,0,0,1,2,0.2,3.1225e-17,0.74683
-7.8951e-14,0,0,1,2,0.2,3.1225e-17,0.75139
-8.1369e-14,0,0,1,2,0.2,3.1225e-17,0.75594
-8.387e-14,0,0,1,2,0.2,3.1225e-17,0.7605
-8.6455e-14,0,0,1,2,0.2,3.1225e-17,0.76505
-8.9127e-14,0,0,1,2,0.2,3.1225e-17,0.76961
-9.1889e-14,0,0,1,2,0.2,3.1225e-17,0.77416
-9.4741e-14,0,0,1,2,0.2,3.1225e-17,0.77872
-9.7687e-14,0,0,1,2,0.2,3.1225e-17,0.78328
-1.0073e-13,0,0,1,2,0.2,3.1225e-17,0.78783
-1.0387e-13,0,0,1,2,0.2,3.1225e-17,0.79239
-1.0711e-13,0,0,1,2,0.2,3.1225e-17,0.79694
-1.0934e-13,0,0,1,2,0.2,3.1225e-17,0.8
-1.1042e-13,0,0,1,2,0.2,3.1225e-17,0.80146
-1.1386e-13,0,0,1,2,0.2,3.1225e-17,0.80601
-1.1741e-13,0,0,1,2,0.2,3.1225e-17,0.81057
-1.2107e-13,0,0,1,2,0.2,3.1225e-17,0.81512
-1.2484e-13,0,0,1,2,0.2,3.1225e-17,0.81968
-1.2872e-13,0,0,1,2,0.2,3.1225e-17,0.82424
-1.3272e-13,0,0,1,2,0.2,3.1225e-17,0.82879
-1.3683e-13,0,0,1,2,0.2,3.1225e-17,0.83335
-1.4106e-13,0,0,1,2,0.2,3.1225e-17,0.8379
-1.454e-13,0,0,1,2,0.2,3.1225e-17,0.84246
-1.4987e-13,0,0,1,2,0.2,3.1225e-17,0.84701
-1.5447e-13,0,0,1,2,0.2,3.1225e-17,0.85157
-1.5918e-13,0,0,1,2,0.2,3.1225e-17,0.85612
-1.6403e-13,0,0,1,2,0.2,3.1225e-17,0.86068
-1.69e-13,0,0,1,2,0.2,3.1225e-17,0.86524
-1.7411e-13,0,0,1,2,0.2,3.1225e-17,0.86979
-1.7935e-13,0,0,1,2,0.2,3.1225e-17,0.87435
-1.8472e-13,0,0,1,2,0.2,3.1225e-17,0.8789
-1.9022e-13,0,0,1,2,0.2,3.1225e-17,0.88346
